this file represents the data of the landing of Bereshit space craft on rhe moon.
the best result in term of fuel left in the space craft is in the log below, we managed to land Bereshit with 24.918 liters of fuel

this is the log of the landing
                ||
                ||
               \\//
                \/

Time: 440  Height: 2613.146  VS: 29.011  fuel:41.508  Weight: 206.508  Acceleration: 3.051  Rotation: 60.839  Distance: 254.176 km
Time: 450  Height: 2325.605  VS: 28.546  fuel:39.288  Weight: 204.288  Acceleration: 3.084  Rotation: 58.683  Distance: 255.412 km
Time: 460  Height: 2041.215  VS: 28.321  fuel:37.068  Weight: 202.068  Acceleration: 3.118  Rotation: 59.312  Distance: 256.381 km
Time: 470  Height: 1745.303  VS: 31.411  fuel:35.594  Weight: 200.594  Acceleration: 1.822  Rotation: 48.471  Distance: 257.116 km
Time: 480  Height: 1419.198  VS: 33.131  fuel:34.307  Weight: 199.307  Acceleration: 1.833  Rotation: 33.398  Distance: 257.715 km
Time: 490  Height: 1090.953  VS: 32.262  fuel:33.019  Weight: 198.019  Acceleration: 1.845  Rotation: 18.338  Distance: 258.218 km
Time: 500  Height: 781.996  VS: 29.498  fuel:31.701  Weight: 196.701  Acceleration: 1.922  Rotation: 3.285  Distance: 258.667 km
Time: 510  Height: 505.973  VS: 26.029  fuel:30.369  Weight: 195.369  Acceleration: 1.935  Rotation: -0.767  Distance: 259.104 km
Time: 520  Height: 275.902  VS: 20.086  fuel:28.857  Weight: 193.857  Acceleration: 2.242  Rotation: -0.818  Distance: 259.544 km
Time: 530  Height: 107.059  VS: 14.43  fuel:27.405  Weight: 192.405  Acceleration: 2.128  Rotation: -0.869  Distance: 259.987 km
Time: 531  Height: 93.178  VS: 13.881  fuel:27.261  Weight: 192.261  Acceleration: 2.13  Rotation: -0.874  Distance: 260.031 km
Time: 532  Height: 79.847  VS: 13.331  fuel:27.094  Weight: 192.094  Acceleration: 2.46  Rotation: -0.879  Distance: 260.076 km
Time: 533  Height: 67.395  VS: 12.451  fuel:26.928  Weight: 191.928  Acceleration: 2.462  Rotation: -0.884  Distance: 260.12 km
Time: 534  Height: 55.826  VS: 11.569  fuel:26.761  Weight: 191.761  Acceleration: 2.464  Rotation: -0.89  Distance: 260.165 km
Time: 535  Height: 45.141  VS: 10.685  fuel:26.595  Weight: 191.595  Acceleration: 2.466  Rotation: -0.895  Distance: 260.21 km
Time: 536  Height: 35.342  VS: 9.799  fuel:26.428  Weight: 191.428  Acceleration: 2.468  Rotation: -0.9  Distance: 260.254 km
Time: 537  Height: 26.432  VS: 8.91  fuel:26.228  Weight: 191.228  Acceleration: 2.965  Rotation: -0.905  Distance: 260.299 km
Time: 538  Height: 18.907  VS: 7.525  fuel:26.028  Weight: 191.028  Acceleration: 2.968  Rotation: -0.91  Distance: 260.344 km
Time: 539  Height: 12.771  VS: 6.136  fuel:25.829  Weight: 190.829  Acceleration: 2.971  Rotation: -0.915  Distance: 260.388 km
Time: 540  Height: 8.026  VS: 4.745  fuel:25.629  Weight: 190.629  Acceleration: 2.974  Rotation: -0.92  Distance: 260.433 km
Time: 541  Height: 4.676  VS: 3.35  fuel:25.462  Weight: 190.462  Acceleration: 2.481  Rotation: -0.926  Distance: 260.478 km
Time: 542  Height: 2.228  VS: 2.449  fuel:25.296  Weight: 190.296  Acceleration: 2.483  Rotation: -0.931  Distance: 260.523 km
Time: 543  Height: 0.682  VS: 1.545  fuel:25.107  Weight: 190.107  Acceleration: 2.817  Rotation: -0.936  Distance: 260.568 km
Time: 544  Height: 0.375  VS: 0.308  fuel:24.918  Weight: 189.918  Acceleration: 2.82  Rotation: -0.941  Distance: 260.613 km
Landed successfully
